"Name","Style","ABV","Ratings","Avg","Score","Reviews","pDev","State","Brewery","Beer_URL"
"Mo' Simcoe","American IPA",6.5,22,4.17,87,2,6.24,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/168631/"
"Mocha And Cigarettes","American Porter",8.9,34,4.33,89,4,4.39,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/177948/"
"Moonage Daydream","American Pale Ale (APA)",5.1,51,4.52,93,5,8.19,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/104853/"
"Mt. Nelson","American Pale Ale (APA)",5.4,65,4.28,91,10,8.64,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/166418/"
"Nelquinox","American IPA",6.7,16,4.26,87,4,4.46,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/156106/"
"Nightman","American Black Ale",5.4,16,3.7,84,1,10.27,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/164069/"
"No Control","American Pale Ale (APA)",5.8,13,4.07,85,1,10.07,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/171921/"
"Original Dankster","American Double / Imperial IPA",8.2,69,4.47,93,5,5.59,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/112171/"
"Otto's Backpack","American Pale Ale (APA)",5.8,28,4.18,87,1,8.13,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/137537/"
"Otto's Jacket","American IPA",6.8,41,4.35,90,4,5.06,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/123955/"
"Permanent Daylight","American IPA",6.4,78,4.45,93,4,10.11,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/124290/"
"Quadruple Dobis","American Double / Imperial IPA",12.8,18,4.54,89,4,4.85,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/211251/"
"Questionable Origins #3","American Pale Ale (APA)",5.7,73,4.01,88,5,11.72,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/114721/"
"Ras Trent","American Pale Ale (APA)",4.9,12,4.24,86,1,4.95,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/246380/"
"Rodney Dankerfield","American Double / Imperial IPA",8.7,35,4.44,90,3,7.88,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/143814/"
"Rye Be Bitter","Extra Special / Strong Bitter (ESB)",3.8,28,3.7,84,1,8.65,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/125768/"
"Saison Francisco","Saison / Farmhouse Ale",6,39,3.97,86,0,5.79,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/110776/"
"Schwag","American Brown Ale",NA,11,3.55,83,1,22.54,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/165937/"
"SFC IPA","American IPA",6.4,15,4.18,86,2,11.48,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/131328/"
"Shoutout Stout","Foreign / Export Stout",6.3,13,3.63,83,1,12.67,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/167396/"
"Simcoe Galaxy IPA","American IPA",7.2,20,4.23,87,1,5.91,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/110175/"
"Simcoe Sessions","American Pale Ale (APA)",5.5,17,4.03,86,2,4.96,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/120758/"
"Smell The Colors","American IPA",6.4,31,3.96,86,3,8.33,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/145361/"
"Southern Passion IPA","American IPA",6.5,43,4.26,89,8,7.28,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/111591/"
"Taco Hands","American IPA",7.2,44,3.97,86,4,10.08,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/107309/"
"The Glow","American Pale Ale (APA)",5.7,46,4.32,90,8,8.1,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/152027/"
"The Vastness Of Space","American Double / Imperial Stout",10,44,4.2,89,2,6.67,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/111207/"
"Tim's Brown","American Brown Ale",6.5,52,4.01,87,4,8.98,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/114759/"
"Tiny Dankster","American Pale Ale (APA)",5.7,88,4.17,90,12,9.59,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/121102/"
"Typo Pills","Czech Pilsener",5.5,22,4.12,87,4,8.5,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/155999/"
"Underneath The Pine","American Pale Ale (APA)",5.7,18,3.99,85,2,6.52,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/171357/"
"Wagoner","American Porter",7.8,11,4.19,86,0,5.73,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/257370/"
"Wicked Juicy","American IPA",7,42,4.35,90,9,7.13,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/200147/"
"Wide Rainbows","American IPA",6.4,14,4.33,87,2,7.16,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/247049/"
"You Are What You Is","American IPA",6.4,13,3.93,85,1,9.92,"CA","Cellarmaker Brewing Co.","/beer/profile/32931/170029/"
"Catch 23 (a.k.a. Dark IPA)","American Black Ale",6.5,33,4.18,88,5,10.05,"CA","Central Coast Brewing","/beer/profile/409/62360/"
"Golden Glow Ale","American Pale Ale (APA)",5.6,17,3.11,80,5,21.54,"CA","Central Coast Brewing","/beer/profile/409/17163/"
"Lucky Day IPA","American IPA",7.2,39,3.98,86,3,8.79,"CA","Central Coast Brewing","/beer/profile/409/82067/"
"Monterey Street","American Pale Ale (APA)",5.5,11,4.19,86,3,10.5,"CA","Central Coast Brewing","/beer/profile/409/190679/"
"Stenner Creek Stout","American Stout",5.8,12,3.1,81,4,15.16,"CA","Central Coast Brewing","/beer/profile/409/17217/"
"Terrace Hill Double IPA","American Double / Imperial IPA",9.5,25,4.1,87,4,7.56,"CA","Central Coast Brewing","/beer/profile/409/120226/"
"The Original Chai Ale","Herbed / Spiced Beer",5.7,20,3.69,84,1,20.87,"CA","Central Coast Brewing","/beer/profile/409/85047/"
"MateVeza Organic Black Lager","Schwarzbier",5.2,21,3.44,82,13,13.66,"CA","Cervecería de MateVeza","/beer/profile/15886/58658/"
"MateVeza Organic Golden Ale","American Pale Ale (APA)",5,51,3.34,80,49,17.37,"CA","Cervecería de MateVeza","/beer/profile/15886/34727/"
"Mateveza Yerba Mate IPA","American IPA",7,75,3.32,79,50,15.96,"CA","Cervecería de MateVeza","/beer/profile/15886/49615/"
"Cháu Tiên Pale Ale","English Pale Ale",5.8,19,3.83,84,17,10.7,"CA","Cháu Tiên USA","/beer/profile/19666/36279/"
"Black's Dawn","American Double / Imperial Stout",8.5,318,3.95,88,79,10.38,"CA","Cismontane Brewing Company","/beer/profile/22598/59775/"
"Black's Dusk (Barrel Aged Black's Dawn)","American Double / Imperial Stout",10,21,3.86,85,6,16.58,"CA","Cismontane Brewing Company","/beer/profile/22598/68017/"
"Black's Nocturne","American Double / Imperial Stout",12,94,4.25,91,20,7.29,"CA","Cismontane Brewing Company","/beer/profile/22598/85536/"
"Black's Twilight","American Double / Imperial Stout",11,21,3.47,82,8,21.9,"CA","Cismontane Brewing Company","/beer/profile/22598/157269/"
"Brut Du Sauvin","Saison / Farmhouse Ale",10.5,12,3.89,85,3,24.94,"CA","Cismontane Brewing Company","/beer/profile/22598/75460/"
"Buckwheat Oktoberfest","Märzen / Oktoberfest",5.2,10,3.95,85,1,14.94,"CA","Cismontane Brewing Company","/beer/profile/22598/86509/"
"Coulter IPA","American IPA",7.2,176,3.58,82,52,12.85,"CA","Cismontane Brewing Company","/beer/profile/22598/57940/"
"Dead Santa","American Double / Imperial Stout",8.3,22,3.58,83,4,12.29,"CA","Cismontane Brewing Company","/beer/profile/22598/76955/"
"Double Rainbow","American Double / Imperial IPA",8.7,49,3.9,86,15,10.77,"CA","Cismontane Brewing Company","/beer/profile/22598/65226/"
"Flemish Red ""Marea Roja""","Flanders Red Ale",4.4,60,3.35,80,11,20.6,"CA","Cismontane Brewing Company","/beer/profile/22598/95645/"
"Greyhound","American Wild Ale",6.2,23,3.78,84,4,14.02,"CA","Cismontane Brewing Company","/beer/profile/22598/103871/"
"Holy Jim Falls","American Pale Ale (APA)",4.5,68,3.56,82,14,14.33,"CA","Cismontane Brewing Company","/beer/profile/22598/89805/"
"Oxalis Pes Caprae Sour Blonde Ale","American Wild Ale",4.5,26,3.46,82,4,13.58,"CA","Cismontane Brewing Company","/beer/profile/22598/97466/"
"Pandion Pale Ale","American Pale Ale (APA)",4.7,15,3.81,84,5,8.66,"CA","Cismontane Brewing Company","/beer/profile/22598/67382/"
"Session Saison","Saison / Farmhouse Ale",4.2,17,3.87,85,4,6.72,"CA","Cismontane Brewing Company","/beer/profile/22598/82881/"
"Smokin' Santiago","Scotch Ale / Wee Heavy",8.5,24,3.66,83,9,14.48,"CA","Cismontane Brewing Company","/beer/profile/22598/75232/"
"St. Peter","Belgian Pale Ale",5.5,13,3.96,85,1,9.34,"CA","Cismontane Brewing Company","/beer/profile/22598/149875/"
"T.J. Slough","American Strong Ale",10,24,3.65,83,6,18.9,"CA","Cismontane Brewing Company","/beer/profile/22598/95688/"
"The Citizen","California Common / Steam Beer",6,74,3.72,84,23,10.22,"CA","Cismontane Brewing Company","/beer/profile/22598/64620/"
"The Mesa","American Wild Ale",6,13,3.71,84,2,15.36,"CA","Cismontane Brewing Company","/beer/profile/22598/156798/"
"Baseline","American Blonde Ale",8,21,3.91,85,6,9.97,"CA","Claremont Craft Ales","/beer/profile/29778/153430/"
"Buddy","American Black Ale",9.1,18,3.58,83,7,15.36,"CA","Claremont Craft Ales","/beer/profile/29778/84675/"
"Carlisle","American Pale Ale (APA)",5.1,13,3.25,82,2,14.15,"CA","Claremont Craft Ales","/beer/profile/29778/84672/"
"Coffee Del","American IPA",7.1,13,3.65,83,3,13.15,"CA","Claremont Craft Ales","/beer/profile/29778/105029/"
"Double Dude","American Double / Imperial IPA",8.5,24,3.99,86,6,15.54,"CA","Claremont Craft Ales","/beer/profile/29778/93127/"
"Jacaranda IPA","American IPA",6.7,68,3.84,85,14,12.76,"CA","Claremont Craft Ales","/beer/profile/29778/84673/"
"St. Mawes","American Stout",7.1,11,3.13,81,2,23,"CA","Claremont Craft Ales","/beer/profile/29778/84674/"
"Station 101","American IPA",6.5,10,3.83,84,3,13.05,"CA","Claremont Craft Ales","/beer/profile/29778/165819/"
"Triple Dude-Citra","American Double / Imperial IPA",10.25,10,4.2,86,3,11.19,"CA","Claremont Craft Ales","/beer/profile/29778/115585/"
"Willow","American Blonde Ale",5.3,11,3.06,81,2,20.92,"CA","Claremont Craft Ales","/beer/profile/29778/84671/"
"Black Widow","Russian Imperial Stout",17,25,4.4,89,8,10,"CA","Coachella Valley Brewing Co","/beer/profile/32541/112453/"
"Condition Black","American Double / Imperial IPA",8.5,12,4.01,85,4,3.99,"CA","Coachella Valley Brewing Co","/beer/profile/32541/112325/"
"Desert Swarm","Witbier",7,39,3.45,81,5,13.62,"CA","Coachella Valley Brewing Co","/beer/profile/32541/110212/"
"Harvester IPA","American IPA",9,11,4.29,86,1,10.49,"CA","Coachella Valley Brewing Co","/beer/profile/32541/123900/"
"Kölschella","Kölsch",4.5,33,3.39,81,7,19.47,"CA","Coachella Valley Brewing Co","/beer/profile/32541/112334/"
"Monument On Fire","American IPA",7,10,3.97,85,0,11.08,"CA","Coachella Valley Brewing Co","/beer/profile/32541/113268/"
"Monumentous","American IPA",7,62,3.78,85,11,11.38,"CA","Coachella Valley Brewing Co","/beer/profile/32541/112330/"
"Phoenix","Vienna Lager",5.5,13,3.48,83,4,7.18,"CA","Coachella Valley Brewing Co","/beer/profile/32541/114601/"
"Sessions IPA","American IPA",4,13,3.58,83,1,7.82,"CA","Coachella Valley Brewing Co","/beer/profile/32541/112328/"
"Amber Ale","American Amber / Red Ale",4.7,22,3.19,80,18,13.17,"CA","Coastal Fog Brewing","/beer/profile/7064/13195/"
"IPA","American IPA",5.6,45,2.07,67,35,26.57,"CA","Coastal Fog Brewing","/beer/profile/7064/56063/"
"Pale Ale","American Pale Ale (APA)",4.7,19,2.95,79,13,22.71,"CA","Coastal Fog Brewing","/beer/profile/7064/13196/"
"Dark Of The Covenant","American Strong Ale",7.7,16,3.76,84,2,10.11,"CA","Congregation Ale House","/beer/profile/27378/98241/"
"Praise On Saison","Saison / Farmhouse Ale",5.8,11,3.67,84,2,9.26,"CA","Congregation Ale House","/beer/profile/27378/107765/"
"Bada Bing Cherry Porter","American Porter",5.4,21,3.95,85,8,10.38,"CA","Coronado Brewing Company","/beer/profile/2447/75705/"
"Barrel-Aged Punk’in Drublic","Pumpkin Ale",8,12,3.74,84,5,10.43,"CA","Coronado Brewing Company","/beer/profile/2447/184045/"
"Berry The Hatchet","Hefeweizen",4.6,53,3.37,80,9,15.13,"CA","Coronado Brewing Company","/beer/profile/2447/125674/"
"Black Ops IPA","American Black Ale",7.2,13,3.81,84,7,12.34,"CA","Coronado Brewing Company","/beer/profile/2447/68244/"
"Black Sails","American Black Ale",7.2,62,3.72,84,16,10.48,"CA","Coronado Brewing Company","/beer/profile/2447/79925/"
"Blue Bridge Coffee Stout","American Stout",5.4,440,3.66,83,82,12.02,"CA","Coronado Brewing Company","/beer/profile/2447/75068/"
"Bobblehead Red","American IPA",8,48,3.86,85,11,13.21,"CA","Coronado Brewing Company","/beer/profile/2447/110545/"
"Coronado / Cigar City Conquista","American IPA",6.5,30,3.93,86,7,6.62,"CA","Coronado Brewing Company","/beer/profile/2447/271127/"
"Coronado / Cigar City Jurata","Baltic Porter",8,396,3.74,84,65,9.36,"CA","Coronado Brewing Company","/beer/profile/2447/112346/"
"Coronado / Cigar City Jurata (Port Wine Barrel Aged)","Baltic Porter",8.5,10,3.91,85,0,5.63,"CA","Coronado Brewing Company","/beer/profile/2447/149409/"
"Coronado Golden Pilsner","Czech Pilsener",4.9,36,3.57,82,8,13.45,"CA","Coronado Brewing Company","/beer/profile/2447/92738/"
"Coronado Island Pale Ale","American IPA",7.5,52,3.99,87,18,10.03,"CA","Coronado Brewing Company","/beer/profile/2447/13309/"
"Coronado Orange Avenue","American Pale Wheat Ale",5.8,72,3.5,81,28,14,"CA","Coronado Brewing Company","/beer/profile/2447/45711/"
"Easy Up Pale Ale","American Pale Ale (APA)",5.2,42,3.69,84,11,8.94,"CA","Coronado Brewing Company","/beer/profile/2447/221177/"
"Four Brothers Pale Ale","American Pale Ale (APA)",5.5,21,3.45,82,15,12.75,"CA","Coronado Brewing Company","/beer/profile/2447/13966/"
"Frog's Breath","American IPA",6.7,165,3.64,83,31,12.36,"CA","Coronado Brewing Company","/beer/profile/2447/74933/"
"German Chocolate Cake","Milk / Sweet Stout",10,45,3.65,83,4,10.41,"CA","Coronado Brewing Company","/beer/profile/2447/129785/"
"Guava Islander","American IPA",7,54,3.76,84,16,8.51,"CA","Coronado Brewing Company","/beer/profile/2447/241736/"
"Hoppy Daze IPA","Belgian IPA",9,219,3.81,85,82,10.76,"CA","Coronado Brewing Company","/beer/profile/2447/13967/"
"Island Weizen","Hefeweizen",6,12,3.29,82,8,13.37,"CA","Coronado Brewing Company","/beer/profile/2447/14266/"
"Jurata","Baltic Porter",8,36,3.78,84,7,7.67,"CA","Coronado Brewing Company","/beer/profile/2447/121599/"
"Mermaid's Red Ale","American Amber / Red Ale",5.7,554,3.63,82,154,11.85,"CA","Coronado Brewing Company","/beer/profile/2447/14236/"
"Neptunes Nectar Strong Ale","American Strong Ale",8.5,21,3.47,82,20,18.44,"CA","Coronado Brewing Company","/beer/profile/2447/46474/"
"North Island IPA","American IPA",7.5,43,3.93,86,15,10.43,"CA","Coronado Brewing Company","/beer/profile/2447/263592/"
"Nutter Brown","English Brown Ale",4.8,15,3.58,83,6,11.45,"CA","Coronado Brewing Company","/beer/profile/2447/41945/"
"Old Scallywag","English Barleywine",11.4,10,3.33,82,3,14.41,"CA","Coronado Brewing Company","/beer/profile/2447/56753/"
"Old Scallywag - Bourbon Barrel Aged","English Barleywine",11.6,49,3.96,86,9,9.85,"CA","Coronado Brewing Company","/beer/profile/2447/105235/"
"Old Scallywag - Oak Brandy Barrel Aged","English Barleywine",11.4,25,3.87,85,8,14.47,"CA","Coronado Brewing Company","/beer/profile/2447/150476/"
"Orange Avenue Wit","Witbier",5.2,554,3.51,80,113,13.96,"CA","Coronado Brewing Company","/beer/profile/2447/57631/"
"Point Loma Porter","American Porter",NA,18,3.6,83,15,9.17,"CA","Coronado Brewing Company","/beer/profile/2447/13965/"
"Punk' In Drublic Imperial Pumpkin Ale","Pumpkin Ale",8,163,3.75,84,30,10.4,"CA","Coronado Brewing Company","/beer/profile/2447/129359/"
"Red Devil","American Strong Ale",9,124,3.91,87,103,9.46,"CA","Coronado Brewing Company","/beer/profile/2447/38888/"
"Saison By The Sea","Saison / Farmhouse Ale",8,43,3.44,81,29,18.02,"CA","Coronado Brewing Company","/beer/profile/2447/44517/"
"Seacoast Pilsner","German Pilsener",4.9,14,3.94,85,5,6.35,"CA","Coronado Brewing Company","/beer/profile/2447/198553/"
"Señor Saison","Saison / Farmhouse Ale",6.7,45,3.76,84,8,11.17,"CA","Coronado Brewing Company","/beer/profile/2447/110396/"
"Skull Wrapper","American IPA",7,10,3.85,84,1,7.01,"CA","Coronado Brewing Company","/beer/profile/2447/162675/"
"Snowy Plover","American IPA",6,29,3.74,84,10,8.02,"CA","Coronado Brewing Company","/beer/profile/2447/256687/"
"Sock Knocker","American Double / Imperial IPA",8.5,396,3.89,87,55,9.25,"CA","Coronado Brewing Company","/beer/profile/2447/84331/"
"Stingray Imperial IPA","American Double / Imperial IPA",7.9,161,3.92,87,37,7.65,"CA","Coronado Brewing Company","/beer/profile/2447/192660/"
"Stupid Stout","American Double / Imperial Stout",10,279,3.91,87,48,10.49,"CA","Coronado Brewing Company","/beer/profile/2447/74381/"
"Stupid Stout - Bourbon Barrel Aged","American Double / Imperial Stout",9.5,181,4.04,89,25,7.43,"CA","Coronado Brewing Company","/beer/profile/2447/105232/"
"Hell Hound Brown","American Brown Ale",5.3,17,3.07,80,6,25.08,"CA","Cosmic Ales","/beer/profile/25432/68594/"
"America's Finest Pale Ale","American Pale Ale (APA)",5.4,25,3.33,81,1,7.21,"CA","Council Brewing Company","/beer/profile/34734/121032/"
"Beatitude Amarillo Dry Hopped Tart Saison","Saison / Farmhouse Ale",3.8,10,4.14,85,0,7.49,"CA","Council Brewing Company","/beer/profile/34734/141594/"
"Beatitude Apricot Tart Saison","Saison / Farmhouse Ale",3.8,62,4.04,88,10,7.67,"CA","Council Brewing Company","/beer/profile/34734/169372/"
"Beatitude Black Currant Tart Saison","Saison / Farmhouse Ale",4.5,18,3.9,85,0,6.92,"CA","Council Brewing Company","/beer/profile/34734/233379/"
"Beatitude Blueberry Tart Saison","Saison / Farmhouse Ale",3.8,103,3.89,86,12,7.97,"CA","Council Brewing Company","/beer/profile/34734/159981/"
"Beatitude Citra Dry Hopped Tart Saison","Saison / Farmhouse Ale",4.5,12,3.96,85,0,11.11,"CA","Council Brewing Company","/beer/profile/34734/209123/"
"Beatitude Mango Tart Saison","Saison / Farmhouse Ale",3.8,120,3.94,87,12,11.17,"CA","Council Brewing Company","/beer/profile/34734/159982/"
"Beatitude Mosaic Dry Hopped Tart Saison","Saison / Farmhouse Ale",4.5,42,4.07,87,4,5.9,"CA","Council Brewing Company","/beer/profile/34734/169373/"
"Beatitude Passion Fruit Tart Saison","Saison / Farmhouse Ale",4.5,80,4.06,88,7,10.34,"CA","Council Brewing Company","/beer/profile/34734/159990/"
"Beatitude Prickly Pear Tart Saison","American Wild Ale",4.5,30,3.8,85,4,17.11,"CA","Council Brewing Company","/beer/profile/34734/215725/"
"Beatitude Raspberry Tart Saison","Saison / Farmhouse Ale",4.5,86,4.02,88,11,8.21,"CA","Council Brewing Company","/beer/profile/34734/159988/"
"Beatitude Tart Saison","Saison / Farmhouse Ale",3.8,16,4.24,87,1,10.61,"CA","Council Brewing Company","/beer/profile/34734/131360/"
"Beatitude Three Berry Tart Saison","Saison / Farmhouse Ale",3.8,103,3.81,85,14,9.71,"CA","Council Brewing Company","/beer/profile/34734/150717/"
"Belgian Tripel","Tripel",7.9,25,3.64,83,3,7.42,"CA","Council Brewing Company","/beer/profile/34734/122063/"
"Bully Pulpit","American IPA",7.2,51,4.15,89,1,9.88,"CA","Council Brewing Company","/beer/profile/34734/139079/"
"Chizzam! IPA","American IPA",6.5,32,3.93,86,2,8.65,"CA","Council Brewing Company","/beer/profile/34734/122066/"
"Clodhopper","Extra Special / Strong Bitter (ESB)",5.5,10,3.7,84,0,9.19,"CA","Council Brewing Company","/beer/profile/34734/123618/"
"Dubbel Conspiracy","Dubbel",8,12,3.96,85,1,12.12,"CA","Council Brewing Company","/beer/profile/34734/123616/"
"Farmer's Gold","Saison / Farmhouse Ale",6,28,3.63,83,0,5.23,"CA","Council Brewing Company","/beer/profile/34734/121030/"
"Gavel Drop IPA","American IPA",7.1,70,3.76,84,4,11.17,"CA","Council Brewing Company","/beer/profile/34734/121028/"
"Pirate’s Breakfast Imperial Oatmeal Stout","American Double / Imperial Stout",8.6,60,3.83,85,2,7.05,"CA","Council Brewing Company","/beer/profile/34734/121037/"
"Quorum IPA (Galaxy)","American IPA",NA,13,3.74,84,0,8.82,"CA","Council Brewing Company","/beer/profile/34734/145110/"
"Quorum IPA (Mosaic And Simcoe)","American IPA",7.6,11,4.67,88,1,9.21,"CA","Council Brewing Company","/beer/profile/34734/127231/"
"Robust Porter","American Porter",6.6,20,3.81,84,1,7.35,"CA","Council Brewing Company","/beer/profile/34734/143859/"
"Royal Blood","American Amber / Red Ale",8.1,23,3.66,83,2,9.02,"CA","Council Brewing Company","/beer/profile/34734/122065/"
"Stalemate Double IPA","American Double / Imperial IPA",8.1,28,3.54,82,0,9.6,"CA","Council Brewing Company","/beer/profile/34734/135695/"
"Nebulous Imperial IPA","American Double / Imperial IPA",8.5,17,3.62,83,4,12.15,"CA","Craft Artisan Ales","/beer/profile/35220/144031/"
"Ricketts Lab IPA","American IPA",6.5,13,3.51,83,6,17.38,"CA","Craft Artisan Ales","/beer/profile/35220/124340/"
"Raven Stout","Oatmeal Stout",6,35,3.61,83,8,18.28,"CA","Craft Brewing Company","/beer/profile/22937/73371/"
"Warlock IPA","American IPA",6.7,11,3.47,83,2,15.85,"CA","Craft Brewing Company","/beer/profile/22937/94378/"
"Acorn Saison","Saison / Farmhouse Ale",8.1,23,3.71,84,6,11.32,"CA","Craftsman Brewing Co.","/beer/profile/2321/75742/"
"Cave Art","American Wild Ale",10,20,3.17,80,2,14.51,"CA","Craftsman Brewing Co.","/beer/profile/2321/90861/"
"Craftsman 1903","American Pale Lager",5.6,69,3.86,86,22,12.44,"CA","Craftsman Brewing Co.","/beer/profile/2321/20054/"
"Craftsman Angelino Weisse","Berliner Weissbier",6.1,49,3.88,86,18,9.02,"CA","Craftsman Brewing Co.","/beer/profile/2321/75616/"
"Craftsman Aurora Borealis","Belgian Strong Pale Ale",13,15,2.81,79,9,35.23,"CA","Craftsman Brewing Co.","/beer/profile/2321/28484/"
"Craftsman Biere De Blanco","Witbier",5,14,3.87,85,11,5.68,"CA","Craftsman Brewing Co.","/beer/profile/2321/22858/"
"Craftsman Cabernale","Fruit / Vegetable Beer",7.5,41,3.61,83,23,15.51,"CA","Craftsman Brewing Co.","/beer/profile/2321/14304/"
"Craftsman Edgar's Ale","Russian Imperial Stout",8.2,48,4.08,88,22,10.29,"CA","Craftsman Brewing Co.","/beer/profile/2321/14037/"
"Craftsman El Prieto Sour Black Ale","American Wild Ale",8.4,29,3.82,85,12,9.69,"CA","Craftsman Brewing Co.","/beer/profile/2321/43892/"
"Craftsman Fireworks Saison","Saison / Farmhouse Ale",7.3,25,3.71,84,8,12.4,"CA","Craftsman Brewing Co.","/beer/profile/2321/61265/"
"Craftsman Heavenly Hefeweizen","Hefeweizen",5,64,4.1,88,21,8.29,"CA","Craftsman Brewing Co.","/beer/profile/2321/12634/"
"Craftsman Holiday Spruce","Winter Warmer",7.2,28,3.62,83,20,14.92,"CA","Craftsman Brewing Co.","/beer/profile/2321/27452/"
"Craftsman Honesty Ale","American Wild Ale",5,39,4.01,87,16,8.73,"CA","Craftsman Brewing Co.","/beer/profile/2321/48083/"
"Craftsman IPA","American IPA",6.25,23,3.76,84,18,14.36,"CA","Craftsman Brewing Co.","/beer/profile/2321/12138/"
"Craftsman Oktoberfest","Märzen / Oktoberfest",6,11,3.82,84,9,7.07,"CA","Craftsman Brewing Co.","/beer/profile/2321/33000/"
"Craftsman Poppyfields Pale Ale","English Pale Ale",5,40,3.69,84,15,12.74,"CA","Craftsman Brewing Co.","/beer/profile/2321/27844/"
"Craftsman Sour Grapes","American Wild Ale",NA,14,3.92,85,5,19.39,"CA","Craftsman Brewing Co.","/beer/profile/2321/73018/"
"Craftsman Triple White Sage","Fruit / Vegetable Beer",9,44,3.97,86,18,19.9,"CA","Craftsman Brewing Co.","/beer/profile/2321/12246/"
"Mesa Verde","American Wild Ale",7,20,3.97,85,3,8.82,"CA","Craftsman Brewing Co.","/beer/profile/2321/135363/"
"Orange Grove Ale","American Pale Ale (APA)",NA,11,3.86,84,7,11.14,"CA","Craftsman Brewing Co.","/beer/profile/2321/33762/"
"Persimmon Sour","American Wild Ale",7.9,23,3.28,81,4,26.52,"CA","Craftsman Brewing Co.","/beer/profile/2321/92877/"
"Smoked Black Lager","Smoked Beer",NA,24,3.58,83,13,19.27,"CA","Craftsman Brewing Co.","/beer/profile/2321/32724/"
"Sourdough","American Wild Ale",7.7,13,4,85,4,7.75,"CA","Craftsman Brewing Co.","/beer/profile/2321/85414/"
"Stonefruit Sour","American Wild Ale",NA,10,4.02,85,3,11.19,"CA","Craftsman Brewing Co.","/beer/profile/2321/103881/"
"Ursa Minor","Flanders Red Ale",6,19,3.77,84,3,6.37,"CA","Craftsman Brewing Co.","/beer/profile/2321/93569/"
"Amber","American Amber / Red Ale",5.2,12,3.5,83,3,6.57,"CA","Culture Brewing Co.","/beer/profile/31059/94273/"
"Belgian Saison","Saison / Farmhouse Ale",4.2,11,3.69,84,2,9.21,"CA","Culture Brewing Co.","/beer/profile/31059/96242/"
"Black IPA","American IPA",7.2,12,4.1,85,2,13.17,"CA","Culture Brewing Co.","/beer/profile/31059/94272/"
"Double IPA","American Double / Imperial IPA",8.2,11,3.59,83,0,10.86,"CA","Culture Brewing Co.","/beer/profile/31059/113800/"
"Imperial Stout","American Double / Imperial Stout",9.2,10,3.6,83,2,7.22,"CA","Culture Brewing Co.","/beer/profile/31059/91522/"
"Keyhole IPA","American IPA",6.6,12,4.25,86,2,8.71,"CA","Culture Brewing Co.","/beer/profile/31059/113799/"
"Milk Stout","Milk / Sweet Stout",6.2,17,3.7,84,3,11.62,"CA","Culture Brewing Co.","/beer/profile/31059/108298/"
"Mosaic IPA","American IPA",6.6,34,3.87,85,4,6.98,"CA","Culture Brewing Co.","/beer/profile/31059/94316/"
"Pale Ale","American Pale Ale (APA)",5.8,14,3.45,82,1,7.25,"CA","Culture Brewing Co.","/beer/profile/31059/91521/"
"Sour Medley","American Wild Ale",3.8,12,4.17,86,3,7.43,"CA","Culture Brewing Co.","/beer/profile/31059/147316/"
"Dempsey's Petaluma Strong Ale","American Double / Imperial IPA",7.5,24,3.45,82,10,15.07,"CA","Dempsey's Restaurant And Brewery","/beer/profile/8930/22171/"
"Dempsey's Red Rooster Ale","American Amber / Red Ale",6.2,17,3.5,83,6,14,"CA","Dempsey's Restaurant And Brewery","/beer/profile/8930/27723/"
"Dempsey's Ugly Dog Stout","Foreign / Export Stout",6.7,12,3.52,83,4,9.66,"CA","Dempsey's Restaurant And Brewery","/beer/profile/8930/67252/"
